id,SalePrice
1461,113043.505718
1462,158545.119629
1463,177280.487071
1464,201879.677345
1465,205982.804218
1466,171910.568476
1467,178305.810679
1468,166744.109173
1469,184190.269513
1470,121211.888623
1471,188034.973786
1472,100633.302945
1473,96076.8418808
1474,145737.434679
1475,114862.459628
1476,347716.866493
1477,256427.947164
1478,281125.995772
1479,278214.493214
1480,470424.979451
1481,345434.805673
1482,216887.772965
1483,172800.450716
1484,163903.98281
1485,193634.606496
1486,197451.543338
1487,322196.424882
1488,246540.290313
1489,189103.875203
1490,228287.881125
1491,196488.292011
1492,89222.4740826
1493,179672.903348
1494,289213.967892
1495,291428.015946
1496,230984.093966
1497,171686.191651
1498,172539.746849
1499,163357.052375
1500,154239.538893
1501,176121.880714
1502,153737.971078
1503,243269.090195
1504,247767.736928
1505,226121.759531
1506,191365.885731
1507,247080.794964
1508,196296.13937
1509,162371.269926
1510,145282.810858
1511,148253.975732
1512,172668.734089
1513,145618.906509
1514,151042.23163
1515,192760.11327
1516,152252.952675
1517,163524.349012
1518,128173.765926
1519,207616.876652
1520,131869.982602
1521,131922.650817
1522,178054.478446
1523,108886.424694
1524,124178.927794
1525,122219.43208
1526,113844.230773
1527,105394.689755
1528,143659.251866
1529,149089.361547
1530,189794.60893
1531,111798.754332
1532,97131.5126033
1533,140386.660739
1534,124295.692336
1535,140090.937801
1536,107493.007958
1537,58307.5466314
1538,146764.494245
1539,206275.898974
1540,90149.2459442
1541,137890.464796
1542,136603.951439
1543,185049.126816
1544,84892.977051
1545,117192.334757
1546,134680.41787
1547,128272.247711
1548,132769.452469
1549,121921.087664
1550,131777.788997
1551,105547.888622
1552,131766.295785
1553,145252.640477
1554,122350.491793
1555,156203.148837
1556,85710.7589154
1557,101208.564636
1558,104678.864331
1559,73139.4372513
1560,128734.967555
1561,122734.012064
1562,128958.48553
1563,124128.265006
1564,149869.48831
1565,141625.441608
1566,227051.791306
1567,76995.984334
1568,246273.599792
1569,120685.379955
1570,140221.791656
1571,121722.229112
1572,141220.069919
1573,211659.589773
1574,119588.64846
1575,219360.588805
1576,259849.674052
1577,181264.304903
1578,147040.641543
1579,145366.698008
1580,197027.775518
1581,154354.316703
1582,127259.338515
1583,300794.874239
1584,220439.22184
