"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
1,"60","RL",2.07667731629393,0.392575901879254,"Pave","NONETYPE","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5.55555555555556,9.96517412935323,9.96517412935323,"Gable","CompShg","VinylSd","VinylSd","BrkFace",1.225,"Gd","TA","PConc","Gd","TA","No","GLQ",1.25088589652729,"Unf",0,0.642123287671233,1.40098199672668,"GasA","Ex","Y","SBrkr",1.82438192668372,4.13559322033898,0,3.03084012761432,3.33333333333333,0,6.66666666666667,5,3.75,3.33333333333333,"Gd",5.71428571428571,"Typ",0,"NONETYPE","Attchd",9.96517412935323,"RFn",5,3.86459802538787,"TA","TA","Y",0,1.11517367458867,0,0,0,0,"NONETYPE","NONETYPE","NONETYPE",0,1.66666666666667,9.99004975124378,"WD","Normal",208500
2,"20","RL",2.55591054313099,0.446003391484123,"Pave","NONETYPE","Reg","Lvl","AllPub","FR2","Gtl","Veenker","Feedr","Norm","1Fam","1Story",6,8.88888888888889,9.83084577114428,9.83084577114428,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","TA","Gd","ALQ",1.73281360737066,"Unf",0,1.21575342465753,2.06546644844517,"GasA","Ex","Y","SBrkr",2.68968456947997,0,0,2.23679546260191,0,5,6.66666666666667,0,3.75,3.33333333333333,"TA",4.28571428571429,"Typ",3.33333333333333,"TA","Attchd",9.83084577114428,"RFn",5,3.24400564174894,"TA","TA","Y",3.47724620770128,0,0,0,0,0,"NONETYPE","NONETYPE","NONETYPE",0,4.16666666666667,9.98507462686567,"WD","Normal",181500
3,"60","RL",2.17252396166134,0.522660224395456,"Pave","NONETYPE","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5.55555555555556,9.95522388059701,9.96019900497512,"Gable","CompShg","VinylSd","VinylSd","BrkFace",1.0125,"Gd","TA","PConc","Gd","TA","Mn","GLQ",0.861091424521616,"Unf",0,1.85787671232877,1.50572831423895,"GasA","Ex","Y","SBrkr",1.96078431372549,4.19370460048426,0,3.16554413328607,3.33333333333333,0,6.66666666666667,5,3.75,3.33333333333333,"Gd",4.28571428571429,"Typ",3.33333333333333,"TA","Attchd",9.95522388059701,"RFn",5,4.28772919605078,"TA","TA","Y",0,0.76782449725777,0,0,0,0,"NONETYPE","NONETYPE","NONETYPE",0,7.5,9.99004975124378,"WD","Normal",223500
4,"70","RL",1.91693290734824,0.443680457153476,"Pave","NONETYPE","IR1","Lvl","AllPub","Corner","Gtl","Crawfor","Norm","Norm","1Fam","2Story",7,5.55555555555556,9.5273631840796,9.80099502487562,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,"TA","TA","BrkTil","TA","Gd","No","ALQ",0.382707299787385,"Unf",0,2.31164383561644,1.23731587561375,"GasA","Gd","Y","SBrkr",2.04816709292413,3.66101694915254,0,3.04324707550514,3.33333333333333,0,3.33333333333333,0,3.75,3.33333333333333,"Gd",5,"Typ",3.33333333333333,"Gd","Detchd",9.94029850746269,"Unf",7.5,4.52750352609309,"TA","TA","Y",0,0.639853747714808,4.92753623188406,0,0,0,"NONETYPE","NONETYPE","NONETYPE",0,1.66666666666667,9.98009950248756,"WD","Abnorml",140000
5,"60","RL",2.68370607028754,0.662500871100374,"Pave","NONETYPE","IR1","Lvl","AllPub","FR2","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5.55555555555556,9.95024875621891,9.95024875621891,"Gable","CompShg","VinylSd","VinylSd","BrkFace",2.1875,"Gd","TA","PConc","Gd","TA","Av","GLQ",1.16052445074415,"Unf",0,2.09760273972603,1.87397708674304,"GasA","Ex","Y","SBrkr",2.44032395566922,5.09927360774818,0,3.89578163771712,3.33333333333333,0,6.66666666666667,5,5,3.33333333333333,"Gd",6.42857142857143,"Typ",3.33333333333333,"TA","Attchd",9.95024875621891,"RFn",7.5,5.89562764456982,"TA","TA","Y",2.24037339556593,1.53564899451554,0,0,0,0,"NONETYPE","NONETYPE","NONETYPE",0,10,9.99004975124378,"WD","Normal",250000
6,"50","RL",2.71565495207668,0.655764361541499,"Pave","NONETYPE","IR1","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin",5,5.55555555555556,9.91542288557214,9.92537313432836,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","Wood","Gd","TA","No","GLQ",1.29695251594614,"Unf",0,0.273972602739726,1.30278232405892,"GasA","Ex","Y","SBrkr",1.69650468883205,2.7409200968523,0,2.4140375753279,3.33333333333333,0,3.33333333333333,5,1.25,3.33333333333333,"TA",3.57142857142857,"Typ",0,"NONETYPE","Attchd",9.91542288557214,"Unf",5,3.38504936530324,"TA","TA","Y",0.466744457409568,0.548446069469835,0,6.2992125984252,0,0,"NONETYPE","MnPrv","Shed",0.451612903225806,8.33333333333333,9.99502487562189,"WD","Normal",143000
7,"20","RL",2.3961661341853,0.468489395804781,"Pave","NONETYPE","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5.55555555555556,9.97014925373134,9.97512437810945,"Gable","CompShg","VinylSd","VinylSd","Stone",1.1625,"Gd","TA","PConc","Ex","TA","Av","GLQ",2.42558469170801,"Unf",0,1.35702054794521,2.75941080196399,"GasA","Ex","Y","SBrkr",3.61040068201194,0,0,3.00248138957816,3.33333333333333,0,6.66666666666667,0,3.75,3.33333333333333,"Gd",5,"Typ",3.33333333333333,"Gd","Attchd",9.97014925373134,"RFn",5,4.4851904090268,"TA","TA","Y",2.975495915986,1.04204753199269,0,0,0,0,"NONETYPE","NONETYPE","NONETYPE",0,6.66666666666667,9.98507462686567,"WD","Normal",307000
8,"60","RL",2.23801783923408,0.482334084415434,"Pave","NONETYPE","IR1","Lvl","AllPub","Corner","Gtl","NWAmes","PosN","Norm","1Fam","2Story",7,6.66666666666667,9.81592039800995,9.81592039800995,"Gable","CompShg","HdBoard","HdBoard","Stone",1.5,"TA","TA","CBlock","Gd","TA","Mn","ALQ",1.52197023387668,"BLQ",0.217096336499322,0.924657534246575,1.81178396072013,"GasA","Ex","Y","SBrkr",2.35933503836317,4.76029055690073,0,3.70436015597306,3.33333333333333,0,6.66666666666667,5,3.75,3.33333333333333,"TA",5,"Typ",6.66666666666667,"TA","Attchd",9.81592039800995,"RFn",5,3.4132581100141,"TA","TA","Y",2.74212368728121,3.72943327239488,4.1304347826087,0,0,0,"NONETYPE","NONETYPE","Shed",0.225806451612903,9.16666666666667,9.99502487562189,"WD","Normal",200000
9,"50","RM",1.62939297124601,0.284327162071128,"Pave","NONETYPE","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin",7,5.55555555555556,9.60696517412935,9.70149253731343,"Gable","CompShg","BrkFace","Wd Shng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,4.07534246575343,1.55810147299509,"GasA","Gd","Y","FuseF",2.17817561807332,3.64164648910412,0,3.14427507975895,0,0,6.66666666666667,0,2.5,6.66666666666667,"TA",5.71428571428571,"Min1",6.66666666666667,"TA","Detchd",9.60696517412935,"Unf",5,3.30042313117066,"Fa","TA","Y",1.05017502917153,0,3.71376811594203,0,0,0,"NONETYPE","NONETYPE","NONETYPE",0,3.33333333333333,9.99004975124378,"WD","Abnorml",129900
10,"190","RL",1.59744408945687,0.344723454667937,"Pave","NONETYPE","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Artery","Artery","2fmCon","1.5Unf",5,6.66666666666667,9.64676616915423,9.70149253731343,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","GLQ",1.50779588944011,"Unf",0,0.599315068493151,1.62193126022913,"GasA","Ex","Y","SBrkr",2.29539641943734,0,0,1.90889755405884,3.33333333333333,0,3.33333333333333,0,2.5,6.66666666666667,"TA",3.57142857142857,"Typ",6.66666666666667,"TA","Attchd",9.64676616915423,"RFn",2.5,1.44569816643159,"Gd","TA","Y",0,0.0731261425959781,0,0,0,0,"NONETYPE","NONETYPE","NONETYPE",0,0.833333333333333,9.99004975124378,"WD","Normal",118000
